point,system,L-mode,L-Ordinate-N(Y),L-Abscissa-E(X),L-Rel-0-points,L-Elevation,R-mode,R-Ordinate-N(Y),R-Abscissa-E(X),R-Rel-0-points,R-Elevation
, 地籍,轉換,100210.97636363600 ,81292.12000000000 ,,, 轉換,99364.54545454540 ,82100.57636363640 ,,
淡030,97,GPS,2771101.65500000000 ,299144.99900000000 ,153.03,11.33530836276 , GPS,2770063.38600000000 ,299544.02400000000 ,1265.33547377313 ,3.25957926054 
,67,轉換,2771305.53400000000 ,298314.30000000000 ,,, 轉換,2770267.28100000000 ,298713.31400000000 ,,
, 地籍,轉換,100162.90363636400 ,81086.47090909090 ,,, 轉換,99125.66000000000 ,81487.70363636360 ,,
淡031,97,GPS,2771101.65500000000 ,299144.99900000000 ,115.17,11.33530836276 , GPS,2769830.00500000000 ,299104.07600000000 ,1387.47830164263 ,3.79402977069 
,67,轉換,2771305.53400000000 ,298314.30000000000 ,,, 轉換,2770033.89100000000 ,298273.35500000000 ,,
, 地籍,轉換,100162.90363636400 ,81086.47090909090 ,,, 轉換,98891.36545454540 ,81048.35090909090 ,,
淡031A,97,支距,2770983.81300000000 ,298282.11750000000 ,-0.05,10.86418743176 , 支距,2770049.66200000000 ,298464.87050000000 ,951.80962715630 ,4.33456948578 
,67,轉換,2771187.67700000000 ,297451.41200000000 ,,, 轉換,2770253.53500000000 ,297634.14700000000 ,,
, 地籍,轉換,100043.20363636400 ,80224.02909090910 ,,, 轉換,99109.50727272730 ,80408.94363636360 ,,
淡032,97,支距,2770964.34350000000 ,298258.28150000000 ,36.15,10.98138752853 , GPS,2770044.47200000000 ,298443.71200000000 ,974.52521644718 ,4.65287246718 
,67,轉換,2771168.20800000000 ,297427.57600000000 ,,, 轉換,2770248.34400000000 ,297612.98800000000 ,,
, 地籍,轉換,100023.68727272700 ,80200.24363636360 ,,, 轉換,99104.27090909090 ,80387.80181818180 ,,
淡033,97,GPS,2770713.00200000000 ,297743.85600000000 ,77.96,11.50513474632 , GPS,2770018.83400000000 ,297992.97500000000 ,815.47575466905 ,4.64454253854 
,67,轉換,2770916.86100000000 ,296913.14800000000 ,,, 轉換,2770222.70000000000 ,297162.25600000000 ,,
, 地籍,轉換,99771.26545454550 ,79686.51454545450 ,,, 轉換,99077.65272727270 ,79937.21636363640 ,,
淡034,97,GPS,2770408.36400000000 ,297134.27200000000 ,10.58,4.54437621079 , GPS,2769856.13900000000 ,297390.41500000000 ,619.31778186843 ,5.02682716306 
,67,轉換,2770612.21800000000 ,296303.55900000000 ,,, 轉換,2770060.00100000000 ,296559.69900000000 ,,
, 地籍,轉換,99465.28909090910 ,79077.77090909090 ,,, 轉換,98913.64727272730 ,79335.14909090910 ,,
淡035,97,GPS,2770054.81900000000 ,296603.45500000000 ,62.99,4.07097460820 , GPS,2769606.78800000000 ,296841.53500000000 ,570.34969820330 ,5.28747330282 
,67,轉換,2770258.67000000000 ,295772.72900000000 ,,, 轉換,2769810.64600000000 ,296010.81700000000 ,,
, 地籍,轉換,99110.60181818180 ,78547.86545454540 ,,, 轉換,98663.10727272730 ,78786.95090909090 ,,
淡035A,97,支距,2770053.50800000000 ,296521.83400000000 ,1.54,3.89199955754 , 支距,2769536.54650000000 ,296716.31500000000 ,553.87327968084 ,5.91809992604 
,67,轉換,2770257.35800000000 ,295691.10500000000 ,,, 轉換,2769740.40400000000 ,295885.59500000000 ,,
, 地籍,轉換,99109.10909090910 ,78466.26363636360 ,,, 轉換,98592.59818181820 ,78661.91636363640 ,,
淡036,97,GPS,2769782.75300000000 ,296133.04800000000 ,13.25,3.31285310225 , GPS,2769365.36900000000 ,296419.59700000000 ,519.53029080448 ,5.82274680264 
,67,轉換,2769986.59500000000 ,295302.30300000000 ,,, 轉換,2769569.22000000000 ,295588.87100000000 ,,
, 地籍,轉換,98837.60727272730 ,78078.04909090910 ,,, 轉換,98420.80000000000 ,78365.61818181820 ,,
淡036A,97,GPS,2769619.17700000000 ,295865.28900000000 ,7.68,3.36645525021 , GPS,2769147.14700000000 ,296095.53500000000 ,532.87095709679 ,6.05187257425 
,67,轉換,2769823.01300000000 ,295034.53600000000 ,,, 轉換,2769350.98900000000 ,295264.80200000000 ,,
, 地籍,轉換,98673.48000000000 ,77810.66909090910 ,,, 轉換,98201.97090909090 ,78041.99272727270 ,,
淡037,97,GPS,2769265.86300000000 ,295380.51600000000 ,77.85,3.71402190365 , 支距,2768885.36750000000 ,295740.32400000000 ,601.52797584433 ,6.17917515046 
,67,轉換,2769469.68800000000 ,294549.76800000000 ,,, 轉換,2769089.20000000000 ,294909.59300000000 ,,
, 地籍,轉換,98319.10363636360 ,77326.78909090910 ,,, 轉換,97939.44727272730 ,77687.41272727270 ,,
淡038,97,GPS,2768636.82400000000 ,294751.82600000000 ,90.97,12.21516365145 , GPS,2768403.01200000000 ,295284.69900000000 ,672.88209428314 ,12.56219401720 
,67,轉換,2768840.62600000000 ,293921.10400000000 ,,, 轉換,2768606.82800000000 ,294453.98600000000 ,,
, 地籍,轉換,97688.68909090910 ,76699.65454545450 ,,, 轉換,97456.10000000000 ,77232.97454545450 ,,
淡039,97,GPS,2767908.46900000000 ,294370.82800000000 ,263.79,12.35878827079 , GPS,2767677.12200000000 ,294866.78700000000 ,811.05297525967 ,12.60966045213 
,67,轉換,2768112.25800000000 ,293540.14500000000 ,,, 轉換,2767880.93000000000 ,294036.11100000000 ,,
, 地籍,轉換,96959.51818181820 ,76320.45090909090 ,,, 轉換,96729.28363636360 ,76816.86181818180 ,,
淡040,97,GPS,2767281.33300000000 ,294153.15900000000 ,120.70,6.48610632234 , 支距,2767194.71450000000 ,294681.75800000000 ,656.34882837859 ,8.02389668524 
,67,轉換,2767485.12800000000 ,293322.50800000000 ,,, 轉換,2767398.53000000000 ,293851.10600000000 ,,
, 地籍,轉換,96331.91090909090 ,76104.27636363640 ,,, 轉換,96246.47454545450 ,76633.00000000000 ,,
淡041,97,GPS,2766503.47600000000 ,294024.43800000000 ,57.63,6.34838927544 , 支距,2766444.80150000000 ,294542.56800000000 ,579.07164951619 ,9.25265573121 
,67,轉換,2766707.28900000000 ,293193.82400000000 ,,, 轉換,2766648.63500000000 ,293711.95600000000 ,,
, 地籍,轉換,95553.76363636360 ,75977.43818181820 ,,, 轉換,95496.28000000000 ,76495.57636363640 ,,
淡041A,97,GPS,2766421.17000000000 ,294032.98000000000 ,65.50,6.17343309045 , 支距,2766371.89300000000 ,294535.29850000000 ,570.22972784579 ,9.17546621852 
,67,轉換,2766624.98500000000 ,293202.36800000000 ,,, 轉換,2766575.72800000000 ,293704.68900000000 ,,
, 地籍,轉換,95471.48000000000 ,75986.16727272730 ,,, 轉換,95423.36000000000 ,76488.47636363630 ,,
淡042,97,GPS,2765955.99300000000 ,293977.41400000000 ,212.02,13.60517538968 , 支距,2765928.20100000000 ,294505.77300000000 ,741.10943303096 ,9.30831675543 
,67,轉換,2766159.81900000000 ,293146.81600000000 ,,, 轉換,2766132.04600000000 ,293675.17700000000 ,,
, 地籍,轉換,95006.19090909090 ,75931.67636363640 ,,, 轉換,94979.63454545450 ,76459.97454545450 ,,
淡043,97,GPS,2765615.11200000000 ,293964.59200000000 ,81.25,14.33252905796 , 支距,2765524.37850000000 ,294507.48450000000 ,631.67241467670 ,9.49704732115 
,67,轉換,2765818.94800000000 ,293134.00000000000 ,,, 轉換,2765728.23100000000 ,293676.89100000000 ,,
, 地籍,轉換,94665.29818181820 ,75919.64909090910 ,,, 轉換,94575.84000000000 ,76462.62181818180 ,,
淡043A,97,GPS,2765367.58500000000 ,293959.10700000000 ,124.38,14.43614268608 , 支距,2765313.05350000000 ,294506.22950000000 ,674.21335156982 ,9.23124825739 
,67,轉換,2765571.42800000000 ,293128.51900000000 ,,, 轉換,2765516.91000000000 ,293675.63900000000 ,,
, 地籍,轉換,94417.77454545450 ,75914.73090909090 ,,, 轉換,94364.53090909090 ,76461.84181818180 ,,
淡044,97,GPS,2765253.75800000000 ,293956.73300000000 ,66.73,14.91370206409 , GPS,2764997.33100000000 ,294482.37300000000 ,651.58230266204 ,9.11498065568 
,67,轉換,2765457.60500000000 ,293126.14700000000 ,,, 轉換,2765201.19100000000 ,293651.78600000000 ,,
, 地籍,轉換,94303.95272727270 ,75912.61272727270 ,,, 轉換,94048.78000000000 ,76438.69636363640 ,,
淡045,97,GPS,2764604.75000000000 ,293922.16100000000 ,53.54,15.73415045304 , GPS,2764355.76700000000 ,294408.02400000000 ,599.48449265283 ,15.98711494424 
