point,system,L-mode,L-Ordinate-N(Y),L-Abscissa-E(X),Rel-0-points,R-mode,R-Ordinate-N(Y),R-Abscissa-E(X)
淡046,97,GPS,"2,764,023.17","293,686.27",327.35, GPS,2763790.169,294270.025
,67,轉換,"2,764,227.04","292,855.72",, 轉換,2763994.025,293439.48
, 地籍,轉換,"93,072.84","75,645.02",, 轉換,92841.222,76229.142
淡047,97,GPS,"2,763,665.54","293,404.18",383.58, GPS,2763248.442,294009.49
,67,轉換,"2,763,869.37","292,573.67",, 轉換,2763452.275,293178.979
, 地籍,轉換,"92,714.61","75,363.81",, 轉換,92298.942,75969.884
淡047A,97,支距,"2,763,645.38","293,383.95",153.25, GPS,2763242.275,293913.541
,67,轉換,"2,763,849.20","292,553.45",, 轉換,2763446.097,293083.039
, 地籍,轉換,"92,694.40","75,343.63",, 轉換,92292.555,75873.975
淡048,97,GPS,"2,763,281.55","292,998.96",299.03, GPS,2762808.074,293567.662
,67,轉換,"2,763,485.20","292,168.58",, 轉換,2763011.828,292737.222
, 地籍,轉換,"92,329.73","74,959.56",, 轉換,91857.585,75529.155
淡049,97,GPS,"2,763,007.00","292,625.68",56.82, GPS,2762502.934,293174.158
,67,轉換,"2,763,210.33","291,795.54",, 轉換,2762706.579,292343.801
, 地籍,轉換,"92,054.36","74,586.99",, 轉換,91551.547,75136.424
淡050,97,GPS,"2,762,753.95","292,227.61",450.28, GPS,2762167.835,292550.971
,67,轉換,"2,762,957.37","291,397.40",, 轉換,2762371.396,291720.671
, 地籍,轉換,"91,800.33","74,189.55",, 轉換,91214.98,74514.107
淡051,97,GPS,"2,762,529.11","291,548.55",542.28, GPS,2761892.509,291842.686
,67,轉換,"2,762,732.72","290,718.22",, 轉換,2762096.163,291012.334
, 地籍,轉換,"91,573.83","73,511.11",, 轉換,90937.962,73806.556
淡052,97,GPS,"2,762,408.66","290,588.12",451.55, 支距,2761865.796,290553.484
,67,轉換,"2,762,612.42","289,757.71",, 轉換,2762069.598,289723.066
, 地籍,轉換,"91,451.12","72,551.12",, 轉換,90908.216,72517.658
淡053,97,GPS,"2,762,400.10","290,200.58",544.22, GPS,2761957.222,290191.226
,67,轉換,"2,762,603.87","289,370.17",, 轉換,2762161.024,289360.811
, 地籍,轉換,"91,441.66","72,163.66",, 轉換,90998.804,72155.262
淡053A,97,支距,"2,762,287.71","289,782.84",3.48, GPS,2761907.75,289852.89
,67,轉換,"2,762,491.49","288,952.44",, 轉換,2762111.554,289022.482
, 地籍,轉換,"91,328.33","71,746.23",, 轉換,90948.562,71817.089
